target_kbps,actual_kbps,mel_distortion_db,worst_clip_db
32,31.289266689739993,0.8199939664416412,1.701900598934234
24,23.61366942366188,1.035187071478297,1.9700935740822425
16,15.912496294897055,1.3088846873274522,2.2531046814239097
8,8.066680591158537,3.540849455884019,5.858950803543075
